name,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
1/1/2040 0:00,232.9809303,328.6695266,116.4904651,869.5181148,1023.451944,299.5469104,266.2639203,74.88672759,357.7921429,2175.875474,1102.499045,2363.092293,2400.535657,1913.771927,1743.196603,624.0560632,1510.215673,3074.516205,844.5558722,1056.734934,644.857932,2163.394353,3170.204801,994.3293274,6818.852584,1189.866894,607.4145682,1643.347633,1996.979402
1/1/2040 1:00,237.3767969,334.8708385,118.6883984,885.9241169,1042.762358,305.1987388,271.2877679,76.29968471,364.5429381,2216.929728,1123.300914,2407.67894,2445.828782,1949.880832,1776.087105,635.8307059,1538.710308,3132.525945,860.4908887,1076.673329,657.0250628,2204.213114,3230.019986,1013.090258,6947.51018,1212.317213,618.8752204,1674.354192,2034.658259
1/1/2040 2:00,220.5313227,311.1066873,110.2656613,823.0544006,968.7625959,283.540272,252.0357973,70.88506799,338.6731026,2059.605031,1043.585723,2236.817701,2272.260235,1811.507293,1650.046861,590.7089,1429.515538,2910.225847,799.4260446,1000.267071,610.3991966,2047.790853,3000.801212,941.1961806,6454.479247,1126.284969,574.9566626,1555.533437,1890.26848
1/1/2040 3:00,206.9052057,291.8841295,103.4526029,772.1997856,908.9050108,266.0209788,236.4630922,66.50524469,317.7472802,1932.346832,979.1049913,2098.609944,2131.862566,1699.578476,1548.094307,554.2103725,1341.189101,2730.409768,750.0313707,938.4628974,572.6840515,1921.262625,2815.388692,883.0418601,6055.672003,1056.694443,539.4314292,1459.420647,1773.473192
1/1/2040 4:00,196.4235773,277.0975466,98.21178865,733.080851,862.8607146,252.5445994,224.4840883,63.13614985,301.6504937,1834.455909,929.5044283,1992.296284,2023.864359,1613.479385,1469.669266,526.1345821,1273.245689,2592.089708,712.0354677,890.9212256,543.6724015,1823.933218,2672.763677,838.3077674,5748.8972,1003.16327,512.1043265,1385.487733,1683.630663
1/1/2040 5:00,193.3646531,272.7822785,96.68232655,721.6645089,849.4232975,248.6116968,220.988175,62.15292421,296.9528601,1805.887742,915.029162,1961.270053,1992.346515,1588.352508,1446.781958,517.9410351,1253.417305,2551.722833,700.9468675,877.0468194,535.2057362,1795.528922,2631.140458,825.2527159,5659.369043,987.5409069,504.1292741,1363.911392,1657.411312
1/1/2040 6:00,201.5788272,284.3701312,100.7894136,752.3209801,885.5069909,259.1727778,230.3758025,64.79319446,309.5674846,1882.602261,953.8998073,2044.585247,2076.981845,1655.826081,1508.241582,539.9432871,1306.662755,2660.120595,730.7232486,914.3039662,557.9413967,1871.803395,2742.911899,860.3096375,5899.780317,1029.491867,525.5447995,1421.850656,1727.818519
1/1/2040 7:00,213.0230541,300.5146657,106.5115271,795.0324699,935.779845,273.8867839,243.454919,68.47169597,327.1425474,1989.483166,1008.055524,2160.662406,2194.898254,1749.83223,1593.868923,570.5974664,1380.845869,2811.143518,772.2085712,966.2117098,589.617382,1978.071217,2898.635129,909.1519632,6234.728317,1087.939169,555.381534,1502.573328,1825.911893
1/1/2040 8:00,230.8311269,325.6367683,115.4155634,861.4947414,1014.008165,296.7828774,263.8070022,74.19571936,354.4906592,2155.797846,1092.325868,2341.287144,2378.385004,1896.112828,1727.111467,618.2976613,1496.28034,3046.146478,836.762835,1046.98404,638.9075834,2143.431893,3140.95212,985.1542737,6755.932446,1178.887541,601.8097237,1628.183841,1978.552516
1/1/2040 9:00,247.7942521,349.5668913,123.897126,924.8035479,1088.52475,318.5926098,283.1934309,79.64815245,380.5411728,2314.221318,1172.5978,2513.341699,2553.165776,2035.452785,1854.031993,663.7346037,1606.237741,3269.999148,898.2541637,1123.923929,685.8590905,2300.946626,3371.771787,1057.550469,7252.40677,1265.520644,646.0350143,1747.834456,2123.950732
